Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,7,2014-08-31,0,0,0,0,0,1
1,2,2013-12-24,3204,385,1,0,0,1
1,1,2013-04-01,0,0,0,0,b,1
1,5,2014-07-25,3858,461,1,0,0,0
1,3,2015-07-01,5223,562,1,1,0,0
1,1,2014-02-24,3826,481,1,0,0,0
1,1,2013-07-29,6290,630,1,1,0,1
1,2,2013-04-30,5925,665,1,1,0,0
1,3,2015-07-08,3797,485,1,0,0,0
1,1,2013-03-04,7675,840,1,1,0,0
1,7,2014-12-28,0,0,0,0,0,1
1,2,2014-06-03,5614,593,1,1,0,0
1,6,2013-10-19,3667,479,1,0,0,1
1,5,2015-05-29,4656,537,1,0,0,0
1,1,2015-02-23,3598,454,1,0,0,0
1,3,2014-11-12,4677,533,1,1,0,0
1,3,2015-04-15,4110,501,1,1,0,0
1,2,2014-01-28,3581,453,1,0,0,0
1,6,2013-12-07,5799,723,1,0,0,0
1,1,2014-08-04,5655,592,1,1,0,1
1,6,2014-11-29,7066,749,1,0,0,0
1,4,2014-12-25,0,0,0,0,c,1
1,1,2013-05-06,4568,562,1,0,0,0
1,1,2014-09-15,4611,545,1,1,0,0
1,1,2015-05-25,0,0,0,0,a,0
1,5,2013-02-08,5681,630,1,1,0,0
1,3,2013-01-09,5471,626,1,1,0,1
1,5,2014-01-10,4486,559,1,1,0,1
1,6,2013-01-05,4997,635,1,0,0,1
1,5,2013-05-03,6027,658,1,1,0,0
1,6,2015-03-14,5225,599,1,0,0,0
1,6,2014-09-06,3959,515,1,0,0,0
1,3,2015-05-06,4960,536,1,1,0,0
1,6,2013-06-08,4262,511,1,0,0,0
1,7,2013-10-20,0,0,0,0,0,1
1,1,2015-06-22,3846,489,1,0,0,0
1,2,2014-03-18,5200,635,1,1,0,0
1,6,2014-07-19,4084,477,1,0,0,0
1,5,2014-06-06,4957,575,1,1,0,0
1,2,2013-01-15,3900,512,1,0,0,0
1,2,2013-08-27,5156,556,1,1,0,0
1,7,2015-04-26,0,0,0,0,0,0
1,6,2014-01-25,4546,561,1,0,0,0
1,2,2015-03-17,4806,555,1,1,0,0
1,6,2015-02-07,4663,599,1,0,0,0
1,6,2013-03-02,5350,678,1,0,0,0
1,6,2013-08-24,4752,601,1,0,0,0
1,2,2014-07-15,5298,538,1,1,0,0
1,4,2013-06-27,3593,464,1,0,0,0
1,4,2013-06-13,3661,461,1,0,0,0
2,7,2014-08-31,0,0,0,0,0,0
2,2,2013-12-24,2407,277,1,0,0,1
2,1,2013-04-01,0,0,0,0,b,1
2,5,2014-07-25,3956,500,1,0,0,1
2,3,2015-07-01,6431,786,1,1,0,0
2,1,2014-02-24,3894,499,1,0,0,0
2,1,2013-07-29,7249,717,1,1,0,1
2,2,2013-04-30,6872,708,1,1,0,0
2,3,2015-07-08,5676,693,1,0,0,0
2,1,2013-03-04,7993,790,1,1,0,0
2,7,2014-12-28,0,0,0,0,0,0
2,2,2014-06-03,5619,641,1,1,0,0
2,6,2013-10-19,2441,325,1,0,0,0
2,5,2015-05-29,4541,576,1,0,0,0
2,1,2015-02-23,3633,481,1,0,0,0
2,3,2014-11-12,6818,776,1,1,0,0
2,3,2015-04-15,7132,850,1,1,0,0
2,2,2014-01-28,3677,497,1,0,0,0
2,6,2013-12-07,2534,302,1,0,0,0
2,1,2014-08-04,6315,668,1,1,0,1
2,6,2014-11-29,3424,372,1,0,0,0
2,4,2014-12-25,0,0,0,0,c,1
2,1,2013-05-06,3840,511,1,0,0,0
2,1,2014-09-15,6997,735,1,1,0,0
2,1,2015-05-25,0,0,0,0,a,0
2,5,2013-02-08,4203,491,1,1,0,0
2,3,2013-01-09,6763,785,1,1,0,0
2,5,2014-01-10,5146,628,1,1,0,0
2,6,2013-01-05,2342,324,1,0,0,0
2,5,2013-05-03,5938,794,1,1,0,0
2,6,2015-03-14,2803,343,1,0,0,0
2,6,2014-09-06,2551,329,1,0,0,0
2,3,2015-05-06,6558,780,1,1,0,0
2,6,2013-06-08,2246,306,1,0,0,0
2,7,2013-10-20,0,0,0,0,0,0
2,1,2015-06-22,4123,491,1,0,0,0
2,2,2014-03-18,5805,644,1,1,0,0
2,6,2014-07-19,3009,339,1,0,0,0
2,5,2014-06-06,5064,602,1,1,0,0
2,2,2013-01-15,4075,513,1,0,0,0
2,2,2013-08-27,6529,717,1,1,0,0
2,7,2015-04-26,0,0,0,0,0,0
2,6,2014-01-25,2274,290,1,0,0,0
2,2,2015-03-17,6457,666,1,1,0,0
2,6,2015-02-07,2335,306,1,0,0,0
2,6,2013-03-02,2643,353,1,0,0,0
2,6,2013-08-24,2546,343,1,0,0,0
2,2,2014-07-15,6361,692,1,1,0,0
2,4,2013-06-27,4791,575,1,0,0,0
2,4,2013-06-13,3763,490,1,0,0,0
3,7,2014-08-31,0,0,0,0,0,0
3,2,2013-12-24,4460,625,1,0,0,1
3,1,2013-04-01,0,0,0,0,b,1
3,5,2014-07-25,4346,562,1,0,0,1
3,3,2015-07-01,8311,772,1,1,0,1
3,1,2014-02-24,5141,672,1,0,0,0
3,1,2013-07-29,10853,965,1,1,0,1
3,2,2013-04-30,11641,1129,1,1,0,0
3,3,2015-07-08,6347,680,1,0,0,1
3,1,2013-03-04,11004,1080,1,1,0,0
3,7,2014-12-28,0,0,0,0,0,0
3,2,2014-06-03,9614,919,1,1,0,0
3,6,2013-10-19,3568,418,1,0,0,0
3,5,2015-05-29,7421,793,1,0,0,0
3,1,2015-02-23,5354,645,1,0,0,0
3,3,2014-11-12,7839,809,1,1,0,0
3,3,2015-04-15,8651,851,1,1,0,0
3,2,2014-01-28,4816,630,1,0,0,0
3,6,2013-12-07,7151,886,1,0,0,0
3,1,2014-08-04,9055,891,1,1,0,1
3,6,2014-11-29,6702,723,1,0,0,0
3,4,2014-12-25,0,0,0,0,c,1
3,1,2013-05-06,6092,758,1,0,0,0
3,1,2014-09-15,10098,977,1,1,0,0
3,1,2015-05-25,0,0,0,0,a,0
3,5,2013-02-08,7945,842,1,1,0,0
3,3,2013-01-09,8001,778,1,1,0,0
3,5,2014-01-10,9242,902,1,1,0,0
3,6,2013-01-05,4523,525,1,0,0,0
3,5,2013-05-03,9198,964,1,1,0,0
3,6,2015-03-14,4189,464,1,0,0,0
3,6,2014-09-06,3562,439,1,0,0,0
3,3,2015-05-06,9046,877,1,1,0,0
3,6,2013-06-08,4002,480,1,0,0,0
3,7,2013-10-20,0,0,0,0,0,0
3,1,2015-06-22,5840,638,1,0,0,0
3,2,2014-03-18,9011,867,1,1,0,0
3,6,2014-07-19,3251,394,1,0,0,0
3,5,2014-06-06,8015,818,1,1,0,0
3,2,2013-01-15,5041,669,1,0,0,0
3,2,2013-08-27,8893,914,1,1,0,1
3,7,2015-04-26,0,0,0,0,0,0
3,6,2014-01-25,3416,440,1,0,0,0
3,2,2015-03-17,8154,857,1,1,0,0
3,6,2015-02-07,4781,549,1,0,0,0
3,6,2013-03-02,5037,638,1,0,0,0
3,6,2013-08-24,3525,427,1,0,0,0
3,2,2014-07-15,9153,864,1,1,0,1
3,4,2013-06-27,6546,787,1,0,0,0
3,4,2013-06-13,5499,647,1,0,0,0
4,7,2014-08-31,0,0,0,0,0,0
4,2,2013-12-24,6786,868,1,0,0,1
4,1,2013-04-01,0,0,0,0,b,1
4,5,2014-07-25,7655,1046,1,0,0,1
4,3,2015-07-01,11216,1359,1,1,0,0
4,1,2014-02-24,7782,1220,1,0,0,0
4,1,2013-07-29,11092,1496,1,1,0,1
4,2,2013-04-30,14870,1773,1,1,0,0
4,3,2015-07-08,8620,1134,1,0,0,0
4,1,2013-03-04,13382,1658,1,1,0,0
4,7,2014-12-28,0,0,0,0,0,0
4,2,2014-06-03,11083,1418,1,1,0,0
4,6,2013-10-19,9356,1308,1,0,0,0
4,5,2015-05-29,10529,1366,1,0,0,0
4,1,2015-02-23,8328,1185,1,0,0,0
4,3,2014-11-12,9340,1306,1,1,0,0
4,3,2015-04-15,9130,1193,1,1,0,0
4,2,2014-01-28,7268,1115,1,0,0,0
4,6,2013-12-07,10544,1526,1,0,0,0
4,1,2014-08-04,11754,1518,1,1,0,1
4,6,2014-11-29,14052,1813,1,0,0,0
4,4,2014-12-25,0,0,0,0,c,1
4,1,2013-05-06,7915,1235,1,0,0,0
4,1,2014-09-15,11450,1471,1,1,0,0
4,1,2015-05-25,0,0,0,0,a,0
4,5,2013-02-08,9965,1380,1,1,0,1
4,3,2013-01-09,8857,1215,1,1,0,0
4,5,2014-01-10,9154,1356,1,1,0,0
4,6,2013-01-05,10338,1514,1,0,0,0
4,5,2013-05-03,11335,1492,1,1,0,0
4,6,2015-03-14,10105,1412,1,0,0,0
4,6,2014-09-06,9382,1368,1,0,0,0
4,3,2015-05-06,10287,1273,1,1,0,0
4,6,2013-06-08,8419,1222,1,0,0,0
4,7,2013-10-20,0,0,0,0,0,0
4,1,2015-06-22,9118,1230,1,0,0,0
4,2,2014-03-18,9920,1344,1,1,0,0
4,6,2014-07-19,8840,1171,1,0,0,0
4,5,2014-06-06,10705,1365,1,1,0,0
4,2,2013-01-15,7121,1074,1,0,0,0
4,2,2013-08-27,8147,1150,1,1,0,0
4,7,2015-04-26,0,0,0,0,0,0
4,6,2014-01-25,9756,1369,1,0,0,0
4,2,2015-03-17,9733,1326,1,1,0,0
4,6,2015-02-07,10042,1398,1,0,0,0
4,6,2013-03-02,10541,1557,1,0,0,0
4,6,2013-08-24,8107,1214,1,0,0,0
4,2,2014-07-15,10719,1333,1,1,0,1
4,4,2013-06-27,8181,1111,1,0,0,1
4,4,2013-06-13,7680,1086,1,0,0,0
5,7,2014-08-31,0,0,0,0,0,0
5,2,2013-12-24,3091,319,1,0,0,1
5,1,2013-04-01,0,0,0,0,b,1
5,5,2014-07-25,3747,500,1,0,0,1
5,3,2015-07-01,6253,717,1,1,0,0
5,1,2014-02-24,3558,480,1,0,0,1
5,1,2013-07-29,8701,788,1,1,0,1
5,2,2013-04-30,6387,744,1,1,0,0
5,3,2015-07-08,4990,639,1,0,0,0
5,1,2013-03-04,7926,809,1,1,0,0
5,7,2014-12-28,0,0,0,0,0,0
5,2,2014-06-03,5732,645,1,1,0,0
5,6,2013-10-19,1938,202,1,0,0,0
5,5,2015-05-29,5833,651,1,0,0,0
5,1,2015-02-23,3742,502,1,0,0,0
